Chosen_category,Complaint Description,Predicted category 1,Predicted category 2,Predicted category 3
Unauthorised Food Selling   Preparation,Next to agara towards ibalur there is a sign board especially for bmtc buses should take service buses. bout till now I have never seen none of the bmtc is going that service road except private vehicles. please take necessary action . ask bmtc people to follow the sign boards at least we can save some time,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Bad Patches,BTM 2nd Stage 29th Main To Kodichikanall Road was Very Worst Government   \nChang Road Was Not Change,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Garbage not lifted from co-authorised collection point,No proper maintenance in collecting garbage and its disposal. facing lot of issues recently and garbage is piling up almost all streets of HSR.,Garbage not lifted from co-authorised collection point,Garbage not lifted from house gully,Garbage lorry not reported for service
Unauthorised Food Selling   Preparation,There are a lot of police officers and traffic police officers who are misusing their power. For instance  carrying insurance of vehicle isn\'t required  (source: http://www.bangaloretrafficpolice.gov.in/index.php?btp=77&id=77&opti But they are still charging Rs 500 for not carrying an insurance. I\'ve seen this near Big Mart Bagalur Cross Road  Vinayaknagara  Hebbal Traffic Interceptor  Near Reva College. So many people don\'t know about this and they pay fine when they don\'t have to. A good way to solve this would be to make them pay fine if they do this kind of thing  why only and only public has to pay fine? Let Cops pay fine sometimes for a change.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Garbage not lifted from co-authorised collection point,Kindly refer my complaint number W01800C93130. The is a huge pile up of garbage & industrial waste next to the Department fo Space RRSSC and diagonally opposite to the Geological Survey of India on the outer ring road leading to Sarakki Junction. This pile of waste is emitting foul smell and is usually put on fire to destroy it  due to which the fumes created are harmful for the environment. Also there are cement cast structures next to the waste which is blocking the footpath. Kindly address this matter at the earliest. Regards,Garbage not lifted from co-authorised collection point,Garbage not lifted from house gully,Garbage lorry not reported for service
Bad Patches,Kindly refer my complaint number W01850C94491which remains unattended. The left turn on Kanakpura road at the Sarakki junction towards Illyas Nagar where there is the traffic constable control post  has a service road which is unused because of its condition. My suggestion is that if this service road can be made motor-able much of the traffic turning left from Kanakpura side towards Illyas Nagar would have a free left turn thus easing the congestion at the Sarakki junction and also Kanakpura road. Kindly implement this suggestion if it is viable. Thanks & Regards,Bad Patches,Major repairs to municipal property,Odour  foul smell  from drains
Unauthorised Food Selling   Preparation,In Jayanagar 4th T-Block  at the junction of 36th cross and 25th Main (diagonally opposite to cake wala)  there are innumarable pot holes  and at 26th Main and 36th cross junction (circle) there are many big pot holes of about a meter in width and about 1/2 a foot depth which is very dangerous to drivers. Vehicles slow down resulting in regular traffic jam and build up of traffic. During rain  it is very dangerous and accidents are bound happen.  Similarly the East End Road from 36th cross up to 30th cross is in very bad shape. The local BBMP office on the 26th main is just about half a KM away and they have not bothered to repair the pot holes.  It is shameful to write to about the condition of the Roads.  Hope they will wake up and survey the entire area and fix the Roads with proper work.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Municipal Land - Road   Footpath   Strom Water Drain,Food truck on footpath hardly have place to walk in kamanahalli  main road.,Municipal Land - Road   Footpath   Strom Water Drain,Drainage chokes and blockages,Bad Patches
Municipal Land - Road   Footpath   Strom Water Drain,Pedestrians forced to walk on busy road next to race course opp cong party office because of missing slabs on drain and filth,Municipal Land - Road   Footpath   Strom Water Drain,Drainage chokes and blockages,Hawkers
Minor repairs to municipal property,In Jambusavari Dinne JP Nagar 8Th Phase Ambedkar Samudhaya Bhavan street there is three polls but no street lights one light is not working and two need new,Minor repairs to municipal property,Proper electric supply to municipal properties,Major repairs to municipal property
Minor repairs to municipal property,- Pothole spotted at 17  Shri M S Ramaiah Rd  Poornappa Garden  Mathikere  Bengaluru  Karnataka 560054  India,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Minor repairs to municipal property,- Pothole spotted at 8  MS Ramaiah Rd  Sundara Nagar  Gokula Extension  Mathikere  Bengaluru  Karnataka 560013  India,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Minor repairs to municipal property,- Pothole spotted at Outer Ring Rd  HMR Layout  Gokula Extension  Mathikere  Bengaluru  Karnataka 560013  India,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Minor repairs to municipal property,- Pothole spotted at 3  MS Ramaiah Rd  Sundara Nagar  Gokula Extension  Mathikere  Bengaluru  Karnataka 560013  India,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Minor repairs to municipal property,- Pothole spotted at 3  MS Ramaiah Rd  Sundara Nagar  Gokula Extension  Mathikere  Bengaluru  Karnataka 560013  India,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Unauthorised Food Selling   Preparation,Good job on building the barricade near Ecospace Marathahalli Ring Road really appreciate it however it needs a slight improvement by not making buses private and BMTC to stop and create congestion. please do arrange a plan something better for buses stopping,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Leaks in water lines,Dear BWSSB ,Leaks in water lines,Shortage of water supply,Drainage chokes and blockages
Bad Patches,Due to Cement Concrete plants and heavy traffic   the road connecting between ORR to white field which covers Doddanekundi Extn (From Alpine Eco to GM paradise   behind Graphite India   Kundanahalli colony) which got damaged a lot . I never seen any Govt employee came and cleaned the road   the roads are filled with full dust   its very difficult for tow wheelers to go in that road. There are many path holes in that road.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Major repairs to municipal property
Unauthorised Food Selling   Preparation,Big potholes on the outer ring road.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Bad Patches,It has been a practice to the BMTC VOLVO drivers and officials to park thier buses on the ITPL main road stretch near ITPL and GR Tech parks during non-operational hours. Both during day time and nights. This actually affects the office going people during day time and the heavy truck traffic during night times causing much of unnecessary jams and slow moving traffics on this stretch. BMTC is responsible for the bottle necks here on this stretch  either while they take a U-Turn at the ITPL main gate (500C route - BSK 2nd stage to ITPL) where actually U-turn is prohibited but the trafc management.,Bad Patches,"Removal of silt from nalla across culverts, etc.",Person falling in Manhole
Garbage not lifted from co-authorised collection point,Garbage pile has accumulated at various street corners in and around 4th Main - 8th cross in New Thippasandra as it has not been collected for past 3 days. When contacted the contractor  the contractor is mentioning that there are payment and other problems with BBMP and hence cannot collect Garbage. Please resolve this problem immediately and ensure collection of garbage immediately as the roads have started stinking.,Garbage not lifted from co-authorised collection point,Garbage not lifted from house gully,Sweeping of road
Municipal Land - Road   Footpath   Strom Water Drain,Road Crossing is very unsafe at the Spice Garden  Marathahalli  Varthur Road. People cross the road just at the end of the railyway bridge and vehicles speed down/up making crossing very difficult and unsafe. Children  elders  women find it extremely difficult to cross the roads for bus  utilities etc.   but we also witnessed accidents due to negligent drivers.,Municipal Land - Road   Footpath   Strom Water Drain,Bad Patches,Unauthorised construction development
"Removal of silt from nalla across culverts, etc.",Team  I boarded a volvo bus KA 01 F 3974 at 6.30 from majestic with the route # 335 . this bus driver was honking through out the way though there very little vehicles on the road and could have drove without honking. one guy on the road riding 2 wheeler shouted at the driver to which driver\'s response was that he has reach within 7. Please take an action on driver. He cannot cause inconvenience to the public just because he has to report early or he was behind his schedule.,"Removal of silt from nalla across culverts, etc.",Minor repairs to municipal property,Bad Patches
Pollution due to chemical effluents,There are about 5 mosques within a km of appartment and each mosque plays its on prayers on loudspeaker in early morning. Sound of prayers is so loud that one has to wake up at 5 am. Then between 6 and 6.30 some children are taught some prayers and that too is taught on loudspeaker. Loudspeakers are very loud and its really distubrbing the neighborhood. There is no regulation. Prayers during the day also disturb. Action should be taken to regulate and make sure no loudspeaker are used for prayers. Religion is not to disturb others peace.,Pollution due to chemical effluents,Unauthorised Food Selling   Preparation,Drainage chokes and blockages
Shortage of water supply,Namaskara: In the last one week  the water supply has been very low. When we went to the office to complain on 1st January 2014 around 4 PM  there was no one present to answer. This low supply has been there for quite some time. My humble request is to request / direct the Water Resources department to supply water fully. We all know that there is supply only on alternative days (and NOT DAILY). If even that water supply is cut considerably  life is horrible. Thanks and regards  Siva,Shortage of water supply,Contaminated water supply,Burst water main
Running without licence,"\""Spirit Junction\"" whole sale wine store  I purchased \""Black dog\"" 8 years wisky  I found the tampering on the seal and no need to apply pressure on the cork/cap to open  just simple/mild twist of the cap was able to open the cap. After this I took it to that particular shop  he argued that I have done the adulteration and just blaming him  So i have to return back.. Any ways paid money  So i used few milliliter of whisky I could not bear the taste of adulterated whisky and finally I even got head ache which I could not get recover till the morning.. Many people uses alcohol  when these kind of adulteration is done there will be possibility of loss of lives and illness  We have to take steps to avoid these kind of adulteration or ban sale of alcohol to save the life of citizens.. Some time people drink alcohol as stress busters for relaxation.. Please don\'t mind as I am raising the issue related to alcohol  as this is also concerned problem related to health and life..",Running without licence,Hawkers,Unauthorised Food Selling   Preparation
Bad Patches,Very bad service road  full of Dangerous Potholes at marathalli bridge towards Old air pot road. Please check the service road from More Super market to Marathalli Bridge. Its full of big big pothholes  stones and unnecessary parking of vehicles ....,Bad Patches,Person falling in Manhole,Municipal Land - Road   Footpath   Strom Water Drain
Unauthorised construction development,Maximum number of  trees are pasted or nailed for pamphlets   handbills ,Unauthorised construction development,Municipal Land - Road   Footpath   Strom Water Drain,Private Land   Building   Society   Factories
Bad Patches,Road from Basapura village road to electronics city   on both sides of Nice road bridge is badly broken and due to pothholes 2 wheeler are at big risk of getting fataly injured. \n\nKindly fix these daily usage roads   we are travelling with kids on these roads. \n\nWe are paying our taxes   please don\'t just increase them with not doing any good for us.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Odour  foul smell  from drains
Rat nuisance,Driving on the wrong side,Rat nuisance,Unauthorised construction development,Private Land   Building   Society   Factories
Unauthorised Food Selling   Preparation,Helmet,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Unauthorised Food Selling   Preparation,Helmet,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
"Removal of silt from nalla across culverts, etc.",Between Kundalahalli junction till Graphite india cross  footpaths are broken by BBMP to clean storm water drains. Garbage from storm water drain is lying around since weeks and not been lifted. Footpaths blocks are not put back in place after cleaning leaving no place for pedestrian to walk.,"Removal of silt from nalla across culverts, etc.",Drainage chokes and blockages,Repair to damaged open SWD
Garbage not lifted from co-authorised collection point,Hi Team     Beside my home empty site is available  sweeper is keeping their trolley in-front of the site. In the late night people are filled trolley with garbage. In the morning she will put all the garbage on the road OR foot path OR EMPTY SITE. I told so many time to her do not keep the trolley over here  She is not listening my words. I complained same to the her supervisor  He is also not taken preventive action for that. Kindly take this as high priority and do necessary action.,Garbage not lifted from co-authorised collection point,Garbage not lifted from house gully,Garbage lorry not reported for service
Proper electric supply to municipal properties,It\'s been five days in our lane with out street lights working during evening time plz do replace it if they are fused off,Proper electric supply to municipal properties,Minor repairs to municipal property,Major repairs to municipal property
Drainage chokes and blockages,At the below address the borewell kept open  it just packed with few stones and cloths..and the electric board kept open without any locks. also  the electric wire is just kept outside without any pipe or casing done. Its very dangerous as lot of kids playing around. pls take immediate action to prevent the cause!!\nalso the backward water was leaking  i just closed this by  cloths...,Drainage chokes and blockages,Overflowing drains or manholes,Repairs to pipe sewers main sewers
Sweeping of road,Garbage collection on the road. Somebody dumping a building materials and selling in a sack. Materials dump on the sundar murthy road  from last three months before elections but still its not cleared.,Sweeping of road,Unauthorised Food Selling   Preparation,Garbage not lifted from house gully
Unauthorised construction development,In times of deadly diseases like Malaria and dengue posing life threats  the mosquito menace in ShivaGanga Layout Mahadevapura is going un-noticed by authorities.,Unauthorised construction development,Municipal Land - Road   Footpath   Strom Water Drain,Minor repairs to municipal property
Garbage not lifted from co-authorised collection point,They have cleaned the sewage and removed the mud and other waste materials and dumped it on road . Since it was wet they said that they will remove it after 1 week. Its been 2 months now no body has come to clear the dump. If rain come it is difiicult to walk on the road,Garbage not lifted from co-authorised collection point,Sweeping of road,Garbage not lifted from house gully
Proper electric supply to municipal properties,Street lights on 1st cross  1st main  HSR Sector 6 are not working. Since it\'s a lonely bylane of the 1st main antisocial elements have started misusing the road.,Proper electric supply to municipal properties,Minor repairs to municipal property,Major repairs to municipal property
Unauthorised Food Selling   Preparation,There are many rabies infected stray dogs in the street. About 20 stray dogs. This problem has to be solved immediately before anyone gets infected. Also the barking is continuous and unbearable. Please take action and do something about this.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Drainage chokes and blockages,The manhole located in front of our house has been blocked and overflowing for the past 2 days,Drainage chokes and blockages,"Removal of silt from nalla across culverts, etc.",Mosquito nuisance
Collection point not attended properly,Hi ,Collection point not attended properly,Garbage not lifted from house gully,Garbage not lifted from co-authorised collection point
Sweeping of road,Garbage has been stinking and sitting on the roads from 7 days adding to it all the diwali and the regular waste . Has been a horrific increase in mosquitoes . The usual garbage collector is not be seen since pre diwali . Kindly clear the garbage .,Sweeping of road,Removal of Debris,Garbage not lifted from co-authorised collection point
Garbage not lifted from house gully,I stay in Babusab palya balaji layout 2nd main 3rd c cross . Near my house there is no street light  it will be very dark at night and all illegal activities takes place due to darkness i have informed KEB but they are telling us to buy the street light . so please help in getting street light in our area. to avoid illegal activity,Garbage not lifted from house gully,Person falling in Manhole,Collection point not attended properly
"Unauthorised stalls on roads, footpath or SWD drain",Had an issue to put forward and make people realize how bad condition the people are facing. Kindly have a look towards the roads of ulsoor area  people are even not able to travel nor walk through the roads. i wish your good selves to kindly take this issue seriously and do the needful. Looking for your response.,"Unauthorised stalls on roads, footpath or SWD drain",Municipal Land - Road   Footpath   Strom Water Drain,Unauthorised Food Selling   Preparation
Contaminated water supply,As we stay in subbanna garden  Maruti mandir. from last 10 days we are not getting kaveri water to our building because of pipes broken in the underground.so much of water is getting wasted.no one ready to take action.also contacted Mr.Murthy about the problem.he said he will get it done but problem has not solved yet.Please do the needful to repair the broken water pipes.,Contaminated water supply,Cleaning of water entrance,Leaks in water lines
Providing removing replacing dustbins,I stay in Girinagar. Home to home collection of wastes and garbage has been very good for quite some time. However  recently the frequency has come down. Wastes are collected today after five days. Normally collecting staff say that they are not being paid salaries/wages on time... it is getting delayed months together. Is this true? If true  please note  this is inhuman. Contractors who are not paying these men shall be adequately punished for this and the practice of paying on time has to be brought back on track.,Providing removing replacing dustbins,Garbage not lifted from house gully,Collection point not attended properly
Garbage not lifted from house gully,Garbage piled up & never cleared. Cows are seen scavenging on the garbage & plastic. This has led to increase in mosquitoes in the area. Not sure which civic body is responsible for our area,Garbage not lifted from house gully,Garbage not lifted from co-authorised collection point,Collection point not attended properly
Sweeping of road,In ward No. 181  the burning of garbage and leaves continues unabated. Despite requesting the BBMP contractor\'s supervisor and the PKs the garbage is continuously burnt.,Sweeping of road,Providing removing replacing dustbins,Garbage not lifted from house gully
Drainage chokes and blockages,Illegal hoardings at sankeys road.. displaying  near golf club  (windsor manner. hotel... area .. why like this.. these people taken permission from the BBMP...??? fee are paid /not  there is not displaying any date number...not shown in that illegal hoardings......,Drainage chokes and blockages,Private Land   Building   Society   Factories,Unauthorised construction development
Unauthorised Food Selling   Preparation,Posting my tweet...\n\n#saferoads #SocEntChat  dcpadmnbcp Had any body cared to repair the busy road from kagadasapura railway crossing to outer ring road.... the road is completely broken from last one year.. There are only potholes and no road left... An open invitation yo fatal accidents,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Minor repairs to municipal property,Since one month signal lights are dead,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Municipal Land - Road   Footpath   Strom Water Drain,Every day I am getting disturbance from street dogs while driving bike. Today that happened  I got a dog bit in Madiwala street. Who will control this  ?\nNot Only in madiwala Even In a nice area like HSR Layout we are suffering from this street barkers.,Municipal Land - Road   Footpath   Strom Water Drain,Hawkers,"Unauthorised stalls on roads, footpath or SWD drain"
Garbage not lifted from co-authorised collection point,Lack of door to door collection from last one week,Garbage not lifted from co-authorised collection point,Garbage not lifted from house gully,Garbage lorry not reported for service
Garbage not lifted from co-authorised collection point,Lack of door to door collection from last one week,Garbage not lifted from co-authorised collection point,Garbage not lifted from house gully,Garbage lorry not reported for service
Unauthorised Food Selling   Preparation,Illgal hoardings  near contonment railway station . huge big illigal hoardings birthday wishes displaying.. jayamahal ward .63.. and nethaji road and contonemnt road junction also....please ask bbmp dept. put a FIR and then removed immediately..,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Bad Patches,Road connects from HAL main gate to BEML gate is at pathetic condition since more than 2 years and since last one year it is under repair which create huge inconvenience  to daily commuter  and also current state of road damages the vehicle and potholes creates back ache to many commuters,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Minor repairs to municipal property
Garbage lorry not reported for service,There were attempts for segregation of different garbage however enough containers are not provided to keep the garbage accordingly and also garbage collector does not come on time to collect the garbage. Due to inconsistent collection garbage gets piled up which provides ground for mosquitoes....... Also need to initiate the drive again to provide awareness  on different kind of garbage,Garbage lorry not reported for service,Sweeping of road,Garbage not lifted from municipal market
Bad Patches,Few months back  I think BWSSB dig the roads for sewage maintenance.After completing that work the road is very bad polluted.I am afraid to pass in that area due to that heavy pollution.Please help us in resolving this ..,Bad Patches,Person falling in Manhole,Municipal Land - Road   Footpath   Strom Water Drain
Bad Patches,Few months back the roads inside Sai baba Temple raod have been dug to lay some pipes. Later nobody had bothered to put tar to these road. badly affected roads are Sai Baba Temple Road  small road which goes inside from Kundalahalli signal towards sai baba temple. because of this work now this road has been made one way. and the other road which most of the people take is vibgyor school road next to sairam samruddhi apartments. That road is also worse. all the roads are so muddy. So many people fall because of this muddy and pathetic roads. This is a serious air pollution issue. there are 100's of apartments in these two roads. 1000's of people are facing so many issues in commuting in these roads. People are getting so many severe health issues travelling in these uneven muddy roads. Kindly take some serious actions and repair these roads.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Unauthorised construction development
Unauthorised Food Selling   Preparation,The lake is on the verge of extinction. 70% of the lake has been covered by algae and if we dont act now  the lake will extinguish in next 4-6 weeks.\nMajor Impact would be on: Aquatic Ecosystem  Underground water and of course the climate.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Unauthorised Food Selling   Preparation,Despite several accidents and deaths like yesterday where 2 lives were lost and several injured  there is no sign of Sky Walk considered for pedestrians near Esteem Mall Hebbal.  Its beyond rationale that the required priority and the urgency was not shown for this.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Sweeping of road,There are some people who are regular users of this park. However  the foot-path in this park has been dug up and has not been repaved for more than 3 months now. Everyday we go to the park  we see a little bit of work but nothing substantial. This whole work should not have taken this long. Please complete the work soon. This is causing hardship even to elderly people who find the park easy to walk in. They have no place to go to now.\n\nAlso  there are some unauthorised people staying inside the park in the room that is actually allocated for a watchman. There is a family staying there. Please take action.,Sweeping of road,Bad Patches,Person falling in Manhole
Mosquito nuisance,Garbage is getting piled up in and around this area on the empty sites. There is School (for nursery and LKG/UKG)also adjacent to this empty site. In-spite of the instructions from the school authorities  still garbage is increased day by day. Also because of these garbage   stray dogs are increased and these dogs are again spreading all these garbage inside other house compounds.,Mosquito nuisance,Providing removing replacing dustbins,Rat nuisance
Garbage not lifted from house gully,In kamakshipalya bangalore 560079  there is a vacant land there is a vacant land behind Ganesh temple  always we are requesting this people to not dump garbage but also it is increasing.please help.,Garbage not lifted from house gully,Garbage not lifted from co-authorised collection point,Collection point not attended properly
Drainage chokes and blockages,Please fine Eurokids Preschool for putting up this illegal banner on Wheeler Road Extension opposite Village Supermarket. The school is located on North Road in Cooke Town,Drainage chokes and blockages,Unauthorised construction development,Private Land   Building   Society   Factories
Bad Patches,The roads were digged up for doing sewage work but that was a year ago but now they still have not fixed the roads.,Bad Patches,Drainage chokes and blockages,Odour  foul smell  from drains
Proper electric supply to municipal properties,Hi   I stay in kudlu which is near to Bommanahalli. That street is a dead end road  Everyday in the evening  the road will be dark. The street lights were never turned on,Proper electric supply to municipal properties,Minor repairs to municipal property,Person falling in Manhole
Bad Patches,Hi Sir \n\nI am staying in vivekananda layout  just beside the BIRYANI Zone  where in \ninside lanes roads are too bad  in rainy season we faced so much difficulty.\nEspecially  PR  layout roads are too bad   because of which bikes are skidding   me and my 4yrs baby fell down from bike last time when sudden rain fall is going on bangalore.\n\nCould you please take it seriously and provide at least CC roads inside the lanes.\n\nThanks and Regards \nSwetha,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,"Unauthorised stalls on roads, footpath or SWD drain"
Drainage chokes and blockages,There is whole sale liquor shop beside big-bazaar- senseless people are seen consuming liquor right behind shop & elderly people walk in park evening & consumption of liquor is nuisance- also due to this liquor shop people urinate openly causing mosquitos to breed- already you have dengue/chikanguniya & now ZIKA- let bbmp visit once this place & fine liquor shop for allowing to consume. \nBBMP office is right behind liquor shop & still nobody cares?,Drainage chokes and blockages,Minor repairs to municipal property,Municipal Land - Road   Footpath   Strom Water Drain
Unauthorised Food Selling   Preparation,Other state vehicles like tamil nadu buses leaving from mysore road satilite bus stop if you really want to check their vehicle poluution level stand near start point of fly over u will find all old not  emission not checked vehicles i wanted to complait reg. this from long time but our control rom says i have to call tamil nadu complain boss they are polluting our city pl is this just posting of complaints r work practically i want to know the results,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Garbage not lifted from co-authorised collection point,Some months ago  the BBMP van used to pick up garbage from my home at the cost of Rs. 100. But since at least 6 months now they have stopped coming and only pick up garbage from nearby apartment buildings so they can make more money. I have complained to the panchayat authorities here several times but in vain. As a result  the layout where I live is littered with garbage. Even empty sites are now garbage dumps. There should be at least a large garbage bin where those who don\'t want to even spend Rs. 100 per month can throw their garbage and then this can be picked up by BBMP. Please help us keep the area clean. I don\'t want to burn the garbage as it is polluting.,Garbage not lifted from co-authorised collection point,Garbage not lifted from house gully,Garbage lorry not reported for service
Bad Patches,Crossing the Ecospace flyovers has become a mighty task these days in the evenings. Our vehicles start moving in a very slow pace right from the time we cross JP Morgan office. Also  the road on the side of one of the flyover is non-usable.\n\nThe bus stop exactly on the exit of ecospace is creating a lot of chaos  as suddenly all the buses will stop in a certain place and hence leading to a slow movement of vehicles. \n\nIt is taking more than 30 minutes to cross the two flyovers. Please kindly do  some corrective action  as this is increasing on a daily basis.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Drainage chokes and blockages,On 6th  main road corner  there is electricity pole which is tilted more & looking at pole you can understand due to weight pole is tilting more & is in dangerous situation  any time pole can fall off-  can BESCOM visit once & clear same?,Drainage chokes and blockages,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain
Unauthorised Food Selling   Preparation,Daily - Always during rail movement  -any time.\nTraffic getting piled up,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Minor repairs to municipal property,Too many dogs disturbs normal life,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Minor repairs to municipal property,kindly provide these dogs home. they are stray  atleast six-seven of them. also  a threat to the locals here.\n\n1st Floor  Benaka Residency \n#2  Maruthi Nagar \nKaikondrahalli  Bangalore-35.,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Minor repairs to municipal property,A stray Dog black in color at #8- 10th Cross near to Subramanyaswamy Nilaya  Hongasandra Bangalore-68 keep chasing and try to bite people all the time. Pls do the needful !,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Minor repairs to municipal property,A dog in Saraki Signal that\'s near to Banashakari is heavy injured.No one take care of him his eyes are injured so that he cant even see things clearly. Please do me favour by helping that dog,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Minor repairs to municipal property,Hi I am facing lot of issues due to stray dogs near my place in HSR layout sector 1. Could you please provide shelter for these stray dogs there are around 8 Adult dogs and 6 puppies in one road,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Minor repairs to municipal property,Hi sir \n\nI\'m residing in Ambedkar Colony in Kudlu Village.. There are nearly 50 stray dogs in that colony trying to bite people.. It is really hard for reaching home by walk during night.. Please do the needful..,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Minor repairs to municipal property,Violent dogs in channapanahalli area. Attacks pedestrians and bikers mainly during night time.,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Municipal Land - Road   Footpath   Strom Water Drain,Dear BBMP Colleagues \n\nI am Archana Prasad working as S/W Engineer at SAP labs. \nI got your mail ID from BBMP site and i have a thought to improve traffic Condition at Graphite Signal which i have been taking since 4 years.\n\nLocation: Graphite India Signal Itpl Main Road  Brookefield  Bangalore - 560037 \nWard # 85\n\nIn 3 years i see there is much increase in Traffic on this road.\nThere is huge Traffic at Graphite Signal all the time on all the weekdays.\nThere are more than 50 IT companies in the ITPL Main road  but there is only one road(no alternate way)\n\nAs you can see in the screen shot attached  Graphite signal is the place which takes min 20 mins to cross. This is the point where traffic from K.R.Puram  Videhi and Marathalli meets.\nIf you see most of the companies are on the Right of the Kundalahalli lake.\nBut to reach there  all company buses or 2 wheelers or 4 wheelers need to cross Graphite Signal. Though there are many traffic police men to manage traffic  because of the huge number of vehicles taking Graphite signal to reach offices it really takes long time at the signal. Traffic will increase day by day because of new constructions and new Offices in this area. \nThe only way to manage traffic is to have alternate way to reach Videhi.\n\n1 km road near Kundalahalli Lake can surely reduce 1/3 traffic at Graphite.\nAlready there is kaccha road near lake which is taken by few ppl who are aware of it.\nLeft road is presently blocked by Villagers whos are simply staying there for free and polluting the lake and surroundings.\n\nMy request to you is to have a view on this plan. \nThis road would surely be an advantage to all IT company employees and also to Traffic police in managing traffic.\n\nAlso I have raised several compains(134424  137687 n 139222) for potholes and bad Road at Graphite signal. But no action is taken. Please engage respective authorities look in to the complains.\n\nThanks in advance and hoping for the best :)\n\nRegards \nArchana,Municipal Land - Road   Footpath   Strom Water Drain,Drainage chokes and blockages,Bad Patches
Minor repairs to municipal property,I find soo many stray dogs in my street  which is barking and following while going in bikes. We feel soo scared when we have to walk in the night. Please do the needful. I am staying in Lakshmi Street 1st Main  JP Nagar 7th Phase  Kothunuru Dinne Main road. Bangalore.,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Minor repairs to municipal property,Hello  We have huge dog count in our area which is chasing and trying to bite so many peoples  in our main appox we have 50 dogs not included which is in lanes  please help us to leave peace  also we really fear to go by bike especially after 9 PM  Area : hoysla nagar  3rd main  from 1st cross to 25th cross we have huge dogs  its near to Ramammurthy nagar  TC palya main road  bangalore - 560016,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Bad Patches,Road is not in good condition to use and vehicles get disturb by this,Bad Patches,Mosquito nuisance,Major repairs to municipal property
Garbage not lifted from house gully,People need new toilet and garbage point to use instead of this road corner,Garbage not lifted from house gully,Silt to be lifted on road,Collection point not attended properly
Bad Patches,Pothole is not filled properly and by this people faceing problem ,Bad Patches,Major repairs to municipal property,Minor repairs to municipal property
Bad Patches,From many days people of this area faceing the problem by this kind of patholes,Bad Patches,Person falling in Manhole,Major repairs to municipal property
Bad Patches,Big pathholes om road to avoid this kind of obstacle vehicles get accident,Bad Patches,Minor repairs to municipal property,Major repairs to municipal property
